IDprzedmiotu;Nazwaprzedmiotu;Opis
1;Podstawy technik informatycznych;Modu³ ten sprawdza znajomoœæ kluczowych pojêæ dotycz¹cych u¿ytkowania komputerów i wykorzystania ich w spo³eczeñstwie.
2;U¿ytkowanie komputerów;Celem tego modu³u jest sprawdzenie wiedzy na temat podstawowych zasad organizacji œrodowiska pracy do efektywnego wykorzystania komputera.
3;Przetwarzanie tekstów;Modu³ ten sprawdza umiejêtnoœæ przetwarzania tekstu. Jest przeznaczony do oceny umiejêtnoœci korzystania z edytora tekstu w celu tworzenia dokumentów.
4;Arkusze kalkulacyjne;Modu³ ten sprawdza znajomoœæ podstawowych pojêæ arkusza kalkulacyjnego, praktyczne doœwiadczenie w projektowaniu i stosowaniu arkusza oraz znajomoœæ jego podstawowych funkcji.
5;Bazy danych;Modu³ ten sprawdza umiejêtnoœci tworzenia ma³ej bazy danych przy u¿yciu standardowego pakietu bazy danych oraz tworzenia prostych zapytañ i raportów z istniej¹cej bazy danych.
6;Grafika mened¿erska i prezentacyjna;Modu³ ten sprawdza umiejêtnoœæ u¿ywania narzêdzi do tworzenia prezentacji i/lub narzêdzi do tworzenia prostej grafiki.
7;Us³ugi w sieciach informatycznych;Modu³ ten sprawdza znajomoœæ pojêæ sieciowych, umiejêtnoœæ korzystania z poczty elektronicznej i wiedzê o tym, co jest dostêpne w sieciowych serwisach informacyjnych.
8;Zarz¹dzanie projektami informatycznymi;Modu³ ten sprawdza umiejêtnoœci zarz¹dzania prac¹ zespo³u tworz¹cego system informatyczny
9;Sieci rozleg³e;Modu³ ten sprawdza znajomoœæ podstawowych pojêæ zwi¹zanych z budow¹ i eksploatacj¹ sieci rozleg³ych.
10;In¿ynieria oprogramowania;Modu³ ten sprawdza umiejêtnoœci projektowania systemów informatycznych.
